onu_id,fiber_length_km,split_ratio,network_load,packet_size_bytes,packets_per_sec,traffic_rate_mbps,buffer_occupancy,bandwidth_allocated_mbps,queue_delay_ms,latency_ms,jitter_ms,received_power_dbm,snr_db,ber,traffic_type,congestion,fault_event
31,11.92,32,0.303,636.54,172.92,3.643,22.62,3.342,3.432,9.032,0.323,-19.646,24.14,0.0004567627314830151,web,0,0
14,7.26,32,0.552,644.62,206.05,2.632,23.27,3.631,2.237,5.512,0.01,-19.676,23.73,0.0008431559909423001,gaming,0,0
31,18.6,32,0.782,763.99,311.7,6.692,48.29,5.803,5.662,10.224,1.092,-23.048,21.963,0.001354322314056169,video,0,0
3,19.81,32,0.683,839.98,314.67,5.707,36.98,7.055,4.501,6.713,0.468,-20.313,19.943,0.0019339566424799084,video,1,0
29,16.92,32,0.853,337.31,162.76,1.518,24.91,1.495,4.277,8.676,0.708,-17.669,22.089,0.0016504368264976504,iot,0,1
3,11.25,32,0.927,1041.05,310.98,7.546,64.98,8.011,5.978,9.001,0.801,-19.341,18.974,0.003423226558560907,video,0,0
7,15.32,32,0.376,1271.7,225.15,5.181,57.29,6.498,5.598,8.773,0.569,-18.981,23.051,0.0005956291942744066,video,0,0
18,11.38,32,0.534,1146.44,206.45,4.856,21.56,5.319,4.02,6.903,0.596,-16.919,22.493,0.0008216310246763733,web,0,0
20,12.49,32,0.745,1038.45,333.09,7.294,57.38,9.235,6.054,7.149,0.866,-18.044,22.049,0.0009725037602389438,video,1,0
11,2.29,32,0.72,1046.08,312.12,7.54,60.99,10.475,3.87,8.208,0.279,-14.32,23.928,0.000460873050133429,video,0,0
28,13.28,32,0.348,760.41,162.86,4.608,29.41,6.476,3.817,5.108,0.569,-19.126,21.5,0.0011938137093171785,gaming,0,0
26,7.84,32,0.69,71.74,78.64,1.603,24.91,2.617,4.81,5.708,0.732,-17.515,25.156,0.00035658555765657703,iot,0,0
23,8.87,32,0.822,731.82,243.55,4.634,49.93,7.044,3.514,6.019,0.616,-17.307,22.398,0.0007852113799498337,web,0,0
2,11.78,32,0.457,1367.03,277.04,6.541,67.14,8.198,4.568,5.066,0.791,-18.321,25.154,0.0004184553847748839,video,0,0
1,8.04,32,0.94,245.53,128.62,1.425,10.74,1.865,1.276,5.078,0.238,-20.11,19.646,0.0019987336645656533,iot,0,0
18,2.22,32,0.682,90.86,142.27,0.895,12.18,1.565,4.784,7.195,0.615,-19.043,23.78,0.0007851912899708578,iot,0,0
31,4.35,32,0.89,1389.81,292.04,3.213,48.16,2.892,2.253,2.946,0.813,-21.627,25.07,0.0004184223195735693,web,0,0
16,8.89,32,0.438,731.27,227.13,5.071,53.15,5.122,4.659,6.023,0.919,-18.458,23.541,0.0006304877235807071,gaming,0,0
10,3.74,32,0.787,414.0,133.65,1.504,15.37,1.916,2.971,6.55,1.028,-14.835,21.184,0.0013792945394391373,iot,0,0
1,11.57,32,0.368,241.53,128.05,2.291,15.88,3.762,1.79,3.815,0.284,-20.412,17.384,0.0038020127230396048,web,0,0
15,10.23,32,0.507,659.42,244.01,7.342,64.45,9.251,4.929,6.828,0.938,-19.1,25.668,0.0003879460673038411,video,0,0
1,4.57,32,0.681,361.34,226.79,5.404,44.76,8.202,2.463,4.793,0.793,-15.572,26.488,0.0003141936200095023,gaming,0,0
16,1.73,32,0.857,358.04,93.37,2.443,32.22,3.198,4.422,7.538,0.853,-19.158,24.243,0.0004927242006697259,iot,0,0
26,19.29,32,0.205,709.36,235.99,3.35,17.88,3.01,2.938,3.903,0.445,-17.488,22.706,0.0009409823352351884,gaming,0,0
20,2.26,32,0.465,170.99,131.07,0.888,12.03,0.453,1.982,2.335,0.318,-16.88,23.899,0.0005183693273796588,iot,0,0
15,5.13,32,0.77,650.36,116.24,1.841,29.88,0.854,3.479,3.282,0.762,-17.826,26.814,0.00027001468862216266,iot,0,0
30,15.01,32,0.222,189.5,149.19,1.201,23.83,1.568,3.212,3.57,0.473,-16.867,23.294,0.0005733141664934033,iot,0,0
5,14.27,32,0.562,1130.8,392.9,4.09,62.8,6.376,5.41,9.68,0.834,-22.009,23.795,0.000529247723396799,video,1,0
1,4.23,32,0.516,717.89,270.66,6.439,24.82,6.281,2.018,0.739,0.279,-16.694,26.107,0.0003808986550381935,video,0,0
17,12.94,32,0.235,550.68,220.87,4.392,43.78,5.311,3.534,6.482,0.2,-19.571,24.834,0.0003301747780997625,gaming,1,0
